8240-00-DW-009,Outside Gym/Lunchroom - right side of the wall - left,8/19/2016,5.9,BA
8240-00-DW-010,Outside Gym/Lunchroom - right side of the wall - center,8/19/2016,11.2,BA
8240-00-DW-011,Outside Gym/Lunchroom - right side of the wall - right,8/19/2016,7.1,BA
8240-01-DW-033,Outside Room 103,8/19/2016,1.3,BA
8240-01-DW-042,Outside Room 106,8/19/2016,5.8,BA
8240-02-DW-046,Outside Rooms 206 and 207,8/19/2016,9.9,BA
8240-02-DW-051,Outside Room 203,8/19/2016,2.5,BA
8240-03-DW-059,Outside Room 303,8/19/2016,1.3,BA
8240-03-DW-065,Outside Room 311,8/19/2016,4.5,BA
8240-01-DW-077N,Room 105 - combined with classroom faucet,8/19/2016,5.2,BA
8240-00-DW-081,Across from Room B6 - left,8/19/2016,4.6,BA
8240-00-DW-082,Across from Room B6 - right,8/19/2016,4.7,BA
8240-00-DW-083,"Outside of Gymnasium (near 009, 010 & 011)",8/19/2016,7.0,BA
8240-00-DW-084,Outside Room B-1 (near staircase) - left,8/19/2016,1.7,BA
8240-00-DW-085,Outside Room B-1 (near staircase) - right,8/19/2016,1.7,BA
8240-02-DW-087N,Deans Office - Room 203A,8/19/2016,1.3,BA
