Outlet ID #,Outlet Location,Sample Collection Date,Test Result (ppb),Test Results
5560-01-DW-017,Outside main office,7/21/2016,0.89,BA
5560-01-DW-022,Outside Room 105,7/21/2016,0.76,BA
5560-02-DW-027,Across from Room 201 - left,7/21/2016,0.81,BA
5560-02-DW-028,Across from Room 201 - right,7/21/2016,9.3,BA
5560-03-DW-041,Outside Room 302,7/21/2016,3.6,BA
5560-03-DW-043,Outside Room 307 - left,7/21/2016,1.4,BA
5560-03-DW-044,Outside Room 307 - right,7/21/2016,1.6,BA
5560-00-WC-049N,Outside kitchen,7/21/2016,0.80,BA
5560-00-WC-050N,Outside girls room,7/21/2016,0.70,BA
