School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
"KEY, FRANCIS SCOTT SCHOOL",2230 S. 8TH ST.,PHILADELPHIA,PA,"-75.16057,39.920888",19148,2540,1 - Squilla,1889,Elementary School,District,South-Central,3rd District,500,0.455,7402063,16268000,,,220,44%,44,9%,139,28%,,,,,83,17%,100%,49000,33458,16612,556,3,40,8%,95%,28%
"KIRKBRIDE, ELIZA B. SCHOOL",1501 S. 7TH ST.,PHILADELPHIA,PA,"-75.156098,39.92982",19147,2580,1 - Squilla,1926,Elementary School,District,South-Central,3rd District,549,0.6241,11811385,18924000,,,193,35%,62,11%,241,44%,35,6%,,,,,92%,57000,29305,16102,636,3,47,9%,96%,25%
"NEBINGER, GEORGE W. SCHOOL",601 CARPENTER ST.,PHILADELPHIA,PA,"-75.153871,39.936723",19147,2590,1 - Squilla,1925,Elementary School,District,South-Central,3rd District,343,0.6899,13515172,19588000,,,42,12%,169,49%,79,23%,35,10%,,,,,100%,59000,45722,15297,517,4,50,15%,93%,43%
ACADEMY AT PALUMBO,1100 CATHARINE ST.,PHILADELPHIA,PA,"-75.161671,39.9401",19147,2620,1 - Squilla,1931,High School,District,South-Central,3rd District,887,0.578,37982399,65748130,,,233,26%,411,46%,80,9%,47,5%,,,113,13%,89%,185206,38992,38991,1067,5,31,3%,96%,25%
"SHARSWOOD, GEORGE SCHOOL",2300 S. 2ND ST.,PHILADELPHIA,PA,"-75.151026,39.918794",19148,2630,1 - Squilla,1906,Elementary School,District,South-Central,3rd District,543,0.5726,13877887,24236000,,,83,15%,65,12%,64,12%,60,11%,,,268,49%,100%,73000,78016,23799,596,3,95,17%,94%,44%
SOUTHWARK SCHOOL,1835 S. 9TH ST.,PHILADELPHIA,PA,"-75.159889,39.925912",19148,2640,1 - Squilla,1905,Elementary School,District,South-Central,3rd District,660,0.452,20709407,45816000,,,242,37%,87,13%,245,37%,28,4%,,,55,8%,100%,138000,78827,25641,815,3,63,10%,96%,25%
SCIENCE LEADERSHIP ACADEMY,55 N. 22ND ST.,PHILADELPHIA,PA,"-75.175858,39.955753",19103,2650,5 - Clarke,UNKNOWN,High School,District,South-Central,9th District,493,0,0,26625000,,,51,10%,172,35%,43,9%,43,9%,,,183,37%,44%,75000,24959,24959,446,,57,12%,95%,36%
CONSTITUTION HIGH SCHOOL,18 S. 7TH ST.,PHILADELPHIA,PA,"-75.152451,39.950273",19106,2670,1 - Squilla,UNKNOWN,High School,District,South-Central,6th District,384,0,0,22018165,,,,,271,71%,54,14%,,,,,27,7%,98%,62023,22002,14781,346,,40,10%,90%,52%
SCIENCE LDSHP ACADEMY @ BEEBER,5925 MALVERN AVE.,PHILADELPHIA,PA,"-75.242066,39.986453",19131,2680,??,UNKNOWN,UNKNOWN,District,,,362,UNKNOWN,UNKNOWN,,,,,,222,61%,41,11%,20,6%,,,60,17%,68%,,,,,,,,,
"TAGGART, JOHN H. SCHOOL",400 W. PORTER ST.,PHILADELPHIA,PA,"-75.155533,39.917103",19148,2690,1 - Squilla,1917,Elementary School,District,South-Central,3rd District,460,0.4185,9169451,21912000,,,229,50%,77,17%,53,12%,52,11%,,,47,10%,100%,66000,85403,26538,616,4,43,9%,94%,39%
VARE-WASHINGTON ELEMENTARY,1198 S. 5TH ST.,PHILADELPHIA,PA,"-75.150576,39.927091",19147,2720,1 - Squilla,1903,Elementary School,District,South-Central,3rd District,383,0.23,9005215,39840000,,,70,18%,94,25%,136,36%,44,11%,,,34,9%,100%,120000,42850,19424,596,3,74,19%,94%,39%
OVERBROOK HIGH SCHOOL,5898 LANCASTER AVE.,PHILADELPHIA,PA,"-75.23833,39.980964",19131,4020,4 - Jones Jr.,1926,High School,District,West,19th District,646,0.33,37909495,114777180,,,,,625,97%,,,,,,,,,100%,323316,199742,102101,2446,5,154,24%,80%,71%
ENGINEERING & SCIENCE HIGH,1600 W. NORRIS ST.,PHILADELPHIA,PA,"-75.161328,39.9834",19121,4030,5 - Clarke,1949,High School,District,North-Central,22nd District,877,0.44,23259490,53182550,,,78,9%,662,75%,61,7%,39,4%,,,37,4%,70%,149810,198668,78968,948,3,21,2%,95%,29%
"DOBBINS, MURRELL HIGH SCHOOL",2150 W. LEHIGH AVE.,PHILADELPHIA,PA,"-75.166993,39.994856",19132,4060,5 - Clarke,1938,High School,District,North-Central,22nd District,599,0.75,83224178,110900225,,,,,546,91%,43,7%,,,,,,,100%,312395,159975,77236,1345,8,93,16%,82%,81%
"BEEBER, DIMNER MIDDLE SCHOOL",5925 MALVERN AVE.,PHILADELPHIA,PA,"-75.242066,39.986453",19131,4100,4 - Jones Jr.,1933,Middle School,District,West,19th District,188,0.4603046826,21881964,47538000,,,,,180,96%,,,,,,,,,100%,139000,123235,54994,1092,3,39,21%,88%,60%
