School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
"HARTRANFT, JOHN F. SCHOOL",720 W. CUMBERLAND ST.,PHILADELPHIA,PA,"-75.145188,39.989236",19133,5320,5 - Clarke,1968,Elementary School,District,North-Central,26th District,506,0.27,7730537,28220000,,,,,327,65%,135,27%,35,7%,,,,,100%,85000,100969,44453,676,2,78,15%,92%,51%
"HUNTER, WILLIAM H. SCHOOL",2400 N. FRONT ST.,PHILADELPHIA,PA,"-75.132296,39.98709",19133,5330,7- Q-S,2004,Elementary School,District,North-Central,26th District,520,0,0,32702000,,,,,47,9%,411,79%,47,9%,,,,,100%,98500,123341,49784,696,2,134,26%,92%,50%
"LUDLOW, JAMES R. SCHOOL",550 W. MASTER ST.,PHILADELPHIA,PA,"-75.145859,39.972315",19122,5340,5 - Clarke,1927,Elementary School,District,North-Central,26th District,334,0,0,23316360,,,,,232,69%,70,21%,27,8%,,,,,100%,70230,37422,16355,596,3,93,28%,93%,46%
"MCKINLEY, WILLIAM SCHOOL",2101 N. ORKNEY ST.,PHILADELPHIA,PA,"-75.141144,39.983392",19122,5350,7- Q-S,1970,Elementary School,District,North-Central,26th District,463,0.17,4238116,24672248,,,,,161,35%,265,57%,26,6%,,,,,100%,74314,119725,66281,596,1,95,21%,93%,45%
"MOFFET, JOHN SCHOOL",127 W. OXFORD ST.,PHILADELPHIA,PA,"-75.135948,39.974868",19122,5370,7- Q-S,1973,Elementary School,District,North-Central,26th District,371,0.38,5036107,13280000,,,,,50,13%,194,52%,84,23%,,,41,11%,100%,40000,100667,26493,417,2,43,12%,95%,38%
POTTER-THOMAS SCHOOL,3001 N. 6TH ST.,PHILADELPHIA,PA,"-75.140654,39.997434",19133,5390,7- Q-S,1967,Elementary School,District,North-Central,25th District,648,0.27,7268373,26537756,,,,,118,18%,486,75%,34,5%,,,,,100%,79933,162718,47800,616,2,70,11%,91%,57%
RICHMOND SCHOOL,2944 BELGRADE ST.,PHILADELPHIA,PA,"-75.110419,39.983391",19134,5400,1 - Squilla,1929,Elementary School,District,North-Central,24th District,681,0.48,7710922,16035600,,,,,127,19%,160,23%,93,14%,,,294,43%,100%,48300,49515,13601,556,3,75,11%,93%,50%
"SHEPPARD, ISAAC A. SCHOOL",120 W. CAMBRIA ST.,PHILADELPHIA,PA,"-75.131652,39.993691",19133,5410,7- Q-S,1898,Elementary School,District,North-Central,25th District,225,0.32,3573438,11288000,,,,,,,192,85%,,,,,,,100%,34000,23098,10984,378,3,,,92%,60%
"WELSH, JOHN SCHOOL",2331 N. 4TH ST.,PHILADELPHIA,PA,"-75.139251,39.986392",19133,5420,7- Q-S,1966,Elementary School,District,North-Central,26th District,459,0.3,6973987,23572000,,,,,138,30%,281,61%,33,7%,,,,,100%,71000,38348,25191,755,4,60,13%,94%,45%
AMY 5 AT JAMES MARTIN,3380 RICHMOND ST.,PHILADELPHIA,PA,"-75.09731,39.985375",19134,5430,6 - Henon,1894,Middle School,District,North-Central,24th District,418,0.23,4956858,21289842,,,,,96,23%,105,25%,38,9%,,,172,41%,100%,62251,62467,17172,504,3,41,10%,93%,51%
"WILLARD, FRANCES E. SCHOOL",1930 E. ELKHART ST.,PHILADELPHIA,PA,"-75.116764,39.99314",19134,5440,1 - Squilla,2010,Elementary School,District,North-Central,24th District,760,0,0,32290652,,,,,220,29%,405,53%,76,10%,,,58,8%,100%,97261,216449,65902,775,,69,9%,,
"CRAMP, WILLIAM SCHOOL",3449 N. MASCHER ST.,PHILADELPHIA,PA,"-75.129996,40.00246",19140,5470,7- Q-S,1969,Elementary School,District,North-Central,25th District,538,0.23,6165610,26589216,,,,,69,13%,423,79%,33,6%,,,,,100%,80088,108132,43664,755,3,72,13%,93%,49%
"KEARNY, GEN. PHILIP SCHOOL",601 FAIRMOUNT AVE.,PHILADELPHIA,PA,"-75.148183,39.963906",19123,5480,5 - Clarke,1898,Elementary School,District,South-Central,6th District,448,0.3241,5273514,16268000,,,,,359,80%,28,6%,32,7%,,,27,6%,100%,49000,53482,15776,417,3,48,11%,95%,35%
CAYUGA SCHOOL,4344-4358 N. 5TH ST.,PHILADELPHIA,PA,"-75.135189,40.017947",19140,5490,7- Q-S,1916,Elementary School,District,North-Central,25th District,453,0.09,1463237,16408104,,,,,121,27%,285,63%,32,7%,,,,,100%,49422,36588,14483,517,3,63,14%,91%,56%
"MARSHALL, THURGOOD SCHOOL",5120 N. 6TH ST.,PHILADELPHIA,PA,"-75.134505,40.030226",19120,5500,9 - Parker,1997,Elementary School,District,Northwest,35th District,742,0.04,1436351,37848000,,,29,4%,435,59%,181,24%,88,12%,,,,,100%,114000,103598,40609,835,4,156,21%,94%,43%
"KENSINGTON BUSINESS, FINANCE",2501 CORAL ST.,PHILADELPHIA,PA,"-75.126978,39.984611",19125,5510,1 - Squilla,1917,High School,District,North-Central,26th District,357,0.16,6051704,38340000,,,,,135,38%,173,48%,,,,,37,10%,100%,108000,83677,39628,929,4,109,31%,77%,81%
KENSINGTON CAPA,1901 N. FRONT ST.,PHILADELPHIA,PA,"-75.133305,39.977091",19122,5520,1 - Squilla,2010,High School,District,North-Central,26th District,511,0,0,31383775,,,,,147,29%,307,60%,,,,,42,8%,100%,88405,324252,64565,542,,108,21%,81%,76%
"SHERIDAN, PHILIP H. SCHOOL",800 E. ONTARIO ST.,PHILADELPHIA,PA,"-75.114276,39.999512",19134,5530,7- Q-S,1899,Elementary School,District,North-Central,24th District,772,0.29,6193754,21502644,,,,,200,26%,477,62%,64,8%,,,20,3%,100%,64767,42526,18795,636,3,60,8%,,
KENSINGTON HEALTH SCIENCES,2463 EMERALD ST.,PHILADELPHIA,PA,"-75.128586,39.984847",19125,5550,1 - Squilla,2001,High School,District,North-Central,26th District,442,0.03,669629,20019870,,,,,142,32%,248,56%,,,,,30,7%,100%,56394,41676,28081,337,2,124,28%,78%,80%
SPRING GARDEN SCHOOL,1146 MELON ST.,PHILADELPHIA,PA,"-75.156208,39.965028",19123,5560,5 - Clarke,1931,Elementary School,District,South-Central,6th District,281,0.7657,10932495,14276000,,,,,220,78%,44,16%,,,,,,,100%,43000,45155,12310,258,4,,,93%,36%
"WEBSTER, JOHN H. SCHOOL",3400 FRANKFORD AVE.,PHILADELPHIA,PA,"-75.105178,39.996242",19134,5590,1 - Squilla,1968,Elementary School,District,North-Central,24th District,884,0.31,9574913,30635300,,,,,272,31%,423,48%,102,12%,,,78,9%,100%,92275,126125,31211,716,4,127,14%,93%,54%
KENSINGTON URBAN EDUCATION,2051 E. CUMBERLAND ST.,PHILADELPHIA,PA,"-75.126329,39.984303",19125,5600,Coleman,1917,High School,District,North-Central,26th District,353,0.16,6051704,38340000,,,,,124,35%,197,56%,,,,,,,100%,108000,83677,39628,929,4,106,30%,88%,65%
Building 21,2000 N. 7th St.,PHILADELPHIA,PA,"-75.146441,39.982115",19122,5610,UNKNOWN,UNKNOWN,UNKNOWN,District,,,293,UNKNOWN,UNKNOWN,,,,,,183,62%,92,31%,,,,,,,100%,,,,,,59,20%,,
THE U SCHOOL,2000 N. 7th St.,PHILADELPHIA,PA,"-75.146441,39.982115",19122,5620,UNKNOWN,UNKNOWN,UNKNOWN,District,,,172,UNKNOWN,UNKNOWN,,,,,,147,85%,,,,,,,,,100%,,,,,,33,19%,,
The LINC,122 W. Erie Ave.,PHILADELPHIA,PA,"-75.12946,40.006096",19140,5660,UNKNOWN,UNKNOWN,UNKNOWN,District,,,210,UNKNOWN,UNKNOWN,,,,,,107,51%,94,45%,,,,,,,100%,,,,,,47,22%,,
"MUNOZ-MARIN, HON LUIS SCHOOL",3300 N. 3RD ST.,PHILADELPHIA,PA,"-75.135668,40.001818",19140,5680,7- Q-S,1997,Elementary School,District,North-Central,25th District,670,0.04,1659417,39591000,,,,,82,12%,547,82%,30,4%,,,,,100%,119250,113457,58819,934,3,122,18%,92%,55%
CENTRAL HIGH SCHOOL,1700 W. OLNEY AVE.,PHILADELPHIA,PA,"-75.150256,40.037421",19141,6010,8 - Bass,1939,High School,District,Northwest,35th District,2246,0.67,50734718,75294435,,,774,34%,603,27%,193,9%,140,6%,,,531,24%,63%,212097,698897,98935,1868,4,,,96%,26%
ROXBOROUGH HIGH SCHOOL,6498 RIDGE AVE.,PHILADELPHIA,PA,"-75.223045,40.037231",19128,6030,4 - Jones Jr.,1924,High School,District,Northwest,5th District,575,0.5,42813423,85200000,,,,,479,83%,26,5%,,,,,52,9%,100%,240000,223741,104024,1603,3,175,30%,87%,65%
"SAUL, WALTER B. HIGH SCHOOL",7100 HENRY AVE.,PHILADELPHIA,PA,"-75.22229,40.049168",19128,6040,4 - Jones Jr.,1950,High School,District,Northwest,5th District,569,0.34,12650669,36926390,,,,,347,61%,81,14%,,,,,115,20%,88%,104018,956400,36075,740,2,62,11%,93%,46%
"GIRLS, PHILA HIGH SCHOOL FOR",1400 W. OLNEY AVE.,PHILADELPHIA,PA,"-75.146067,40.0383",19141,6050,8 - Bass,1956,High School,District,Northwest,35th District,1169,0.48,39380720,82847060,,,195,17%,765,65%,112,10%,48,4%,,,49,4%,91%,233372,214848,82874,1654,3,26,2%,92%,51%
"KING, MARTIN LUTHER HIGH SCH.",6100 STENTON AVE.,PHILADELPHIA,PA,"-75.162,40.056428",19138,6060,8 - Bass,1970,High School,District,Northwest,14th District,963,0.13,17285412,131350000,,,,,933,97%,,,,,,,,,100%,370000,467631,163897,2543,3,320,33%,80%,74%
RANDOLPH TECHNICAL HIGH SCHOOL,3101 HENRY AVE.,PHILADELPHIA,PA,"-75.179473,40.00907",19129,6090,4 - Jones Jr.,1975,High School,District,North-Central,39th District,561,0,0,43160545,,,,,509,91%,35,6%,,,,,,,100%,121579,433368,117802,569,2,116,21%,88%,72%
"LEEDS, MORRIS E. MIDDLE SCHOOL",1100 E. MT. PLEASANT AVE.,PHILADELPHIA,PA,"-75.17485,40.071424",19150,6100,9 - Parker,1953,Middle School,District,Northwest,14th District,206,0.35,20727791,59731945,,,,,191,93%,,,,,,,,,100%,168259,279653,78076,1126,3,67,33%,93%,42%
"DAY, ANNA B. SCHOOL",6324 CRITTENDEN ST.,PHILADELPHIA,PA,"-75.16865,40.058651",19138,6200,8 - Bass,1952,Elementary School,District,,,494,0.47,6.6,,,,,,449,91%,,,28,6%,,,,,100%,,,,,,57,12%,,
"EDMONDS, FRANKLIN S. SCHOOL",8025 THOURON AVE.,PHILADELPHIA,PA,"-75.171027,40.073089",19150,6210,9 - Parker,1948,Elementary School,District,Northwest,14th District,486,0.36,9747449,26726000,,,,,434,89%,,,38,8%,,,,,100%,80500,257616,53613,755,2,90,19%,96%,20%
"EMLEN, ELEANOR C. SCHOOL",6501 CHEW AVE.,PHILADELPHIA,PA,"-75.178114,40.054118",19119,6220,8 - Bass,1926,Elementary School,District,Northwest,14th District,441,0.45,11089766,24734000,,,,,391,89%,,,38,9%,,,,,100%,74500,99909,26102,735,3,71,16%,93%,41%
FITLER ACADEMICS PLUS,140 W. SEYMOUR ST.,PHILADELPHIA,PA,"-75.166406,40.026123",19144,6230,8 - Bass,1898,Elementary School,District,Northwest,39th District,247,0.86,10883455,12616000,,,,,232,94%,,,,,,,,,100%,38000,45902,13733,378,3,24,10%,95%,33%
"HENRY, CHARLES W. SCHOOL",601 CARPENTER LN.,PHILADELPHIA,PA,"-75.196544,40.046261",19119,6250,8 - Bass,1908,Elementary School,District,Northwest,14th District,504,0.53,11591620,21712800,,,,,362,72%,,,67,13%,,,55,11%,75%,65400,102841,26494,596,2,63,13%,95%,28%
"HOUSTON, HENRY H. SCHOOL",7300 RURAL LN.,PHILADELPHIA,PA,"-75.195179,40.059516",19119,6260,8 - Bass,1927,Elementary School,District,Northwest,14th District,370,0.31,7411650,23904000,,,,,324,88%,,,26,7%,,,,,100%,72000,128910,23594,656,3,82,22%,93%,38%
JENKS ACADEMY ARTS & SCIENCES,8301 GERMANTOWN AVE.,PHILADELPHIA,PA,"-75.203278,40.07491",19118,6270,8 - Bass,1924,Elementary School,District,Northwest,14th District,450,0.5,8979363,17928000,,,,,345,77%,,,43,10%,,,43,10%,54%,54000,105857,18354,477,3,63,14%,96%,19%
"LOGAN, JAMES SCHOOL",1700 LINDLEY AVE.,PHILADELPHIA,PA,"-75.152184,40.030521",19141,6300,8 - Bass,1924,Elementary School,District,Northwest,35th District,264,0.98,21123134,21580000,,,,,230,87%,,,22,8%,,,,,100%,65000,159338,18110,556,3,44,17%,93%,38%
"MCCLOSKEY, JOHN F. SCHOOL",8500 PICKERING ST.,PHILADELPHIA,PA,"-75.174842,40.081104",19150,6310,9 - Parker,1956,Elementary School,District,Northwest,14th District,464,0.38,5330985,13944000,,,,,435,94%,,,,,,,,,89%,42000,95029,31106,497,2,60,13%,95%,33%
"MIFFLIN, THOMAS SCHOOL",3624 CONRAD ST.,PHILADELPHIA,PA,"-75.191909,40.013261",19129,6320,4 - Jones Jr.,1937,Elementary School,District,Northwest,39th District,292,0.46,9580600,20617200,,,,,244,84%,,,,,,,27,9%,100%,62100,130417,34407,1113,2,33,11%,94%,41%
"PENNELL, JOSEPH ELEMENTARY",1800 NEDRO AVE.,PHILADELPHIA,PA,"-75.150918,40.043277",19141,6340,8 - Bass,1927,Elementary School,District,Northwest,35th District,385,0.55,12854222,23405336,,,,,368,96%,,,,,,,,,100%,70498,88855,24309,517,3,36,9%,92%,46%
"PENNYPACKER, SAMUEL SCHOOL",1858 E. WASHINGTON LN.,PHILADELPHIA,PA,"-75.159098,40.065104",19138,6350,9 - Parker,1930,Elementary School,District,Northwest,14th District,374,0.27,15232383,57436000,,,,,345,92%,,,,,,,,,100%,173000,115959,21473,636,3,68,18%,94%,35%
ROOSEVELT ELEMENTARY SCHOOL,430 E. WASHINGTON LN.,PHILADELPHIA,PA,"-75.1749,40.048117",19144,6360,8 - Bass,1924,Middle School,District,,,572,0.26,12.1,,,,,,537,94%,,,21,4%,,,,,100%,,,,,,95,17%,,
SHAWMONT SCHOOL,535 SHAWMONT AVE.,PHILADELPHIA,PA,"-75.238644,40.051585",19128,6380,4 - Jones Jr.,1928,Elementary School,District,Northwest,5th District,525,0.28,7781756,27725320,,,,,198,38%,28,5%,58,11%,,,231,44%,69%,83510,108183,28301,656,3,80,15%,95%,30%
"STEEL, EDWARD SCHOOL",4301 WAYNE AVE.,PHILADELPHIA,PA,"-75.156994,40.018797",19140,6390,8 - Bass,1973,Elementary School,District,North-Central,39th District,561,0.37,10343895,28336200,,,,,529,94%,,,,,,,,,100%,85350,130306,35620,676,3,83,15%,92%,46%
WIDENER MEMORIAL SCHOOL,1450 W. OLNEY AVE.,PHILADELPHIA,PA,"-75.146999,40.037236",19141,6400,8 - Bass,1953,K-12,District,Northwest,35th District,151,1.2,34458866,28774170,,,,,62,41%,,,47,31%,,,,,100%,84135,464442,134710,1034,1,,,,
COOK-WISSAHICKON SCHOOL,201 E. SALAIGNAC ST.,PHILADELPHIA,PA,"-75.207023,40.022593",19128,6410,4 - Jones Jr.,1969,Elementary School,District,Northwest,5th District,442,0.22,5285993,24269200,,,,,158,36%,,,54,12%,,,209,47%,77%,73100,133317,29729,537,2,53,12%,95%,32%
"WISTER, JOHN SCHOOL",67 E. BRINGHURST ST.,PHILADELPHIA,PA,"-75.167091,40.03339",19144,6430,8 - Bass,1955,Elementary School,District,Northwest,14th District,373,0.49,15303094,31113380,,,,,357,96%,,,,,,,,,100%,93715,151478,33018,517,3,30,8%,92%,46%
"LINGELBACH, ANNA L. SCHOOL",6340 WAYNE AVE.,PHILADELPHIA,PA,"-75.189952,40.03741",19144,6440,8 - Bass,1955,Elementary School,District,Northwest,14th District,427,0.48,10377709,21567716,,,,,364,85%,27,6%,23,5%,,,,,99%,64963,278019,24086,398,2,49,11%,95%,35%
"DOBSON, JAMES SCHOOL",4667 UMBRIA ST.,PHILADELPHIA,PA,"-75.230257,40.031349",19127,6450,4 - Jones Jr.,1930,Elementary School,District,Northwest,5th District,305,0.61,10670147,17430000,,,,,104,34%,,,35,11%,,,141,46%,76%,52500,41662,16963,417,3,61,20%,96%,26%
HILL-FREEDMAN WORLD ACADEMY,6200 CRITTENDEN ST.,PHILADELPHIA,PA,"-75.16533,40.056411",19138,6460,8 - Bass,1980,Middle School,District,Northwest,14th District,489,0.28,4423852,16059978,,,20,4%,417,85%,,,24,5%,,,,,76%,46959,200016,31275,216,2,108,22%,96%,27%
"KELLY, JOHN B. SCHOOL",5116 PULASKI AVE.,PHILADELPHIA,PA,"-75.172634,40.02499",19144,6470,8 - Bass,1970,Elementary School,District,Northwest,39th District,680,0.36,12298009,33856032,,,,,600,88%,,,61,9%,,,,,100%,101976,212664,75228,795,2,81,12%,93%,45%
AMY NORTHWEST,6000 RIDGE AVE.,PHILADELPHIA,PA,"-75.213,40.030918",19128,6480,8 - Bass,1929,Middle School,District,Northwest,14th District,261,0.2,4539267,23065700,,,,,232,89%,,,,,,,,,95%,69475,74570,17073,576,2,,,97%,17%
LANKENAU HIGH SCHOOL,201 SPRING LANE,PHILADELPHIA,PA,"-75.252607,40.062386",19128,6540,4 - Jones Jr.,1971,High School,District,Northwest,5th District,313,0.42,11103032,26270000,,,,,290,93%,,,,,,,,,84%,74000,732958,17657,347,3,36,12%,92%,55%
FRANKFORD HIGH SCHOOL,5000 OXFORD AVE.,PHILADELPHIA,PA,"-75.08515,40.021699",19124,7010,7- Q-S,1914,High School,District,Northeast,15th District,1139,0.742,82700996,111386575,,,,,588,52%,374,33%,36,3%,,,126,11%,100%,313765,209414,100226,1679,4,348,31%,77%,79%
"COOKE, JAY ELEMENTARY SCHOOL",1300 W. LOUDEN ST.,PHILADELPHIA,PA,"-75.146138,40.025527",19141,7100,8 - Bass,1923,Elementary School,District,Northwest,35th District,503,1.07,41865466,39043200,,,,,412,82%,42,8%,33,7%,,,,,100%,117600,79476,53321,974,3,61,12%,93%,38%
"HARDING, WARREN G. MIDDLE SCH",2000 WAKELING ST.,PHILADELPHIA,PA,"-75.07437,40.012785",19124,7110,1 - Squilla,1924,Middle School,District,Northeast,15th District,783,0.61,26973401,44208288,,,,,461,59%,210,27%,45,6%,,,54,7%,100%,129264,381462,53312,1197,3,204,26%,91%,55%
"FELS, SAMUEL HIGH SCHOOL",5500 LANGDON ST.,PHILADELPHIA,PA,"-75.092464,40.03644",19124,7120,9 - Parker,2009,High School,District,Northeast,2nd District,1009,0,0,88674385,,,83,8%,649,64%,210,21%,29,3%,,,34,3%,100%,249787,1004241,179946,1418,,232,23%,84%,65%
"WAGNER, GEN. LOUIS MIDDLE SCH.",1701 CHELTEN AVE.,PHILADELPHIA,PA,"-75.147734,40.051817",19126,7130,8 - Bass,1928,Middle School,District,Northwest,35th District,497,1.01,28209220,27903438,,,,,469,94%,,,,,,,,,100%,81589,105079,50695,1008,4,119,24%,92%,49%
JUNIATA PARK ACADEMY,801 E. HUNTING PARK AVE.,PHILADELPHIA,PA,"-75.111645,40.012799",19124,7150,7- Q-S,2007,Elementary School,District,North-Central,24th District,1134,0,0,33963600,,,97,9%,130,11%,737,65%,127,11%,,,43,4%,100%,102300,213904,68265,874,2,106,9%,94%,43%
BARTON SCHOOL,4600 ROSEHILL ST.,PHILADELPHIA,PA,"-75.119655,40.020209",19120,7200,7- Q-S,1925,Elementary School,District,North-Central,25th District,813,0.81,19512162,23970400,,,32,4%,197,24%,476,59%,96,12%,,,,,100%,72200,135621,23534,755,3,56,7%,93%,48%
"CARNELL, LAURA H. SCHOOL",1100 DEVEREAUX AVE.,PHILADELPHIA,PA,"-75.084131,40.038894",19111,7220,7- Q-S,1931,Elementary School,District,Northeast,2nd District,988,0.69,17182998,24861820,,,32,3%,562,57%,239,24%,101,10%,,,49,5%,100%,74885,160161,25902,874,3,89,9%,93%,44%
ELLWOOD SCHOOL,6701 N. 13TH ST.,PHILADELPHIA,PA,"-75.138481,40.055131",19126,7260,9 - Parker,1957,Elementary School,District,Northwest,35th District,320,0.42,7836573,18466172,,,,,289,90%,,,,,,,,,100%,55621,123523,31861,358,2,30,9%,94%,34%
"FINLETTER, THOMAS K. SCHOOL",6101 N. FRONT ST.,PHILADELPHIA,PA,"-75.119127,40.043621",19120,7270,9 - Parker,1930,Elementary School,District,Northwest,35th District,829,0.87,18066865,20836320,,,88,11%,569,69%,98,12%,59,7%,,,,,100%,62760,239857,20766,676,1,81,10%,94%,36%
"FRANKLIN, BENJAMIN SCHOOL",5735 RISING SUN AVE.,PHILADELPHIA,PA,"-75.104015,40.042286",19120,7280,9 - Parker,1916,Elementary School,District,Northeast,2nd District,975,0.394,10072211,25540760,,,44,5%,586,60%,234,24%,84,9%,,,24,2%,100%,76930,97922,32335,696,2,114,12%,94%,39%
"STEARNE, ALLEN M. SCHOOL",1655 UNITY ST.,PHILADELPHIA,PA,"-75.085128,40.011962",19124,7290,7- Q-S,1968,Elementary School,District,Northeast,15th District,538,0.65,16560944,25281800,,,,,258,48%,206,38%,52,10%,,,,,100%,76150,73105,29002,537,3,87,16%,92%,54%
"HOPKINSON, FRANCIS SCHOOL",4001 L ST.,PHILADELPHIA,PA,"-75.102188,40.008412",19124,7300,7- Q-S,1927,Elementary School,District,North-Central,24th District,920,1.129603083,18483266,16362620,,,35,4%,233,25%,544,59%,72,8%,,,32,3%,100%,49285,97538,20329,656,3,113,12%,94%,45%
FELTONVILLE INTERMEDIATE,238 E. WYOMING AVE.,PHILADELPHIA,PA,"-75.120982,40.020346",19120,7310,7- Q-S,1936,Elementary School,District,North-Central,25th District,727,0,0,27888000,,,34,5%,161,22%,452,62%,62,9%,,,,,100%,84000,77353,41692,696,3,74,10%,,
"HOWE, JULIA WARD SCHOOL",5800 N. 13TH ST.,PHILADELPHIA,PA,"-75.142321,40.041454",19141,7320,9 - Parker,1913,Elementary School,District,Northwest,35th District,264,0.45,6007402,13446000,,,,,232,88%,,,24,9%,,,,,100%,40500,51164,11646,437,3,29,11%,93%,40%
"LAWTON, HENRY W. SCHOOL",6101 JACKSON ST.,PHILADELPHIA,PA,"-75.058585,40.020256",19135,7330,6 - Henon,1973,Elementary School,District,Northeast,15th District,762,0.15,3970696,26512192,,,,,269,35%,194,25%,115,15%,,,171,22%,100%,79856,90346,46944,855,2,100,13%,93%,45%
"LOWELL, JAMES R. SCHOOL",450 W. NEDRO AVE.,PHILADELPHIA,PA,"-75.129094,40.040291",19120,7350,9 - Parker,1913,Elementary School,District,Northwest,35th District,841,1.15,22176231,19322400,,,135,16%,509,61%,115,14%,76,9%,,,,,100%,58200,106149,39639,1053,3,52,6%,,
"MARSHALL, JOHN SCHOOL",4500 GRISCOM ST.,PHILADELPHIA,PA,"-75.08742,40.014759",19124,7360,7- Q-S,1909,Elementary School,District,Northeast,15th District,402,0.47,9493920,19405400,,,,,210,52%,110,27%,58,14%,,,21,5%,100%,58450,34802,13116,417,3,55,14%,91%,52%
"WASHINGTON, GROVER JR. MIDDLE",201 E. OLNEY AVE.,PHILADELPHIA,PA,"-75.117672,40.035728",19120,7370,9 - Parker,2000,Middle School,District,Northwest,35th District,561,0.01,397985,51129000,,,104,19%,314,56%,91,16%,33,6%,,,,,100%,149500,218698,84266,1197,3,137,24%,94%,39%
"MC CLURE, ALEXANDER K. SCHOOL",600 W. HUNTING PARK AVE.,PHILADELPHIA,PA,"-75.137616,40.015077",19140,7380,7- Q-S,1910,Elementary School,District,North-Central,25th District,629,0.92,17563603,19090000,,,,,174,28%,405,64%,43,7%,,,,,100%,57500,46131,17273,576,3,44,7%,92%,48%
"MORRISON, ANDREW J. SCHOOL",5100 N. 3RD ST.,PHILADELPHIA,PA,"-75.129592,40.029476",19120,7390,9 - Parker,1924,Elementary School,District,Northwest,35th District,693,0.58,16287579,27852808,,,55,8%,371,54%,200,29%,60,9%,,,,,100%,83894,70311,31359,775,3,87,13%,93%,48%
OLNEY ELEMENTARY SCHOOL,5301 N. WATER ST.,PHILADELPHIA,PA,"-75.120871,40.03108",19120,7400,9 - Tasco,1900,Elementary School,District,Northwest,35th District,862,0.72,10063503,14009736,,,134,16%,365,42%,282,33%,64,7%,,,,,100%,42198,56252,15977,537,2,92,11%,94%,38%
"SULLIVAN, JAMES J. SCHOOL",5300 DITMAN ST.,PHILADELPHIA,PA,"-75.066736,40.015904",19124,7430,6 - Henon,1930,Elementary School,District,Northeast,15th District,751,0.84,18757182,21580000,,,,,345,46%,207,28%,112,15%,,,81,11%,100%,65000,106474,21293,636,3,111,15%,92%,55%
"TAYLOR, BAYARD SCHOOL",3698 N. RANDOLPH ST.,PHILADELPHIA,PA,"-75.138253,40.006924",19140,7440,7- Q-S,1907,Elementary School,District,North-Central,25th District,556,0.24,4528111,18791200,,,,,98,18%,404,73%,46,8%,,,,,100%,56600,75524,26918,616,4,49,9%,93%,47%
"ZIEGLER, WILLIAM H. SCHOOL",5935 SAUL ST.,PHILADELPHIA,PA,"-75.075404,40.030067",19149,7460,6 - Henon,1957,Elementary School,District,Northeast,15th District,543,0.121,2372421,19596300,,,27,5%,254,47%,169,31%,52,10%,,,41,8%,100%,59025,65808,35908,556,2,81,15%,93%,43%
BRIDESBURG SCHOOL,2824 JENKS ST.,PHILADELPHIA,PA,"-75.066742,40.000232",19137,7470,6 - Henon,1958,Elementary School,District,North-Central,15th District,722,0.44,10503184,23663300,,,,,,,44,6%,58,8%,,,602,83%,90%,71275,106311,26763,338,2,97,13%,93%,49%
PRINCE HALL SCHOOL,6101-6167 N. GRATZ ST.,PHILADELPHIA,PA,"-75.149337,40.047691",19141,7490,8 - Bass,1971,Elementary School,District,Northwest,35th District,581,0.22,5880412,26228000,,,,,519,89%,,,49,8%,,,,,100%,79000,148940,63011,636,2,74,13%,95%,35%
FELTONVILLE ARTS & SCIENCES,210 E. COURTLAND ST.,PHILADELPHIA,PA,"-75.122093,40.019367",19120,7500,7- Q-S,2005,Middle School,District,North-Central,25th District,519,0,0,26676000,,,26,5%,140,27%,315,61%,28,5%,,,,,100%,78000,96895,38919,924,,98,19%,92%,51%
"BETHUNE, MARY MCLEOD SCHOOL",3301 OLD YORK RD.,PHILADELPHIA,PA,"-75.147718,40.003606",19140,7510,5 - Clarke,1970,Elementary School,District,North-Central,25th District,764,0.22,7264030,33007440,,,,,533,70%,169,22%,53,7%,,,,,100%,99420,168669,59332,855,2,46,6%,92%,54%
"ROWEN, WILLIAM SCHOOL",6841 N. 19TH ST.,PHILADELPHIA,PA,"-75.148413,40.058764",19126,7530,9 - Parker,1938,Elementary School,District,Northwest,14th District,523,0.55,10278146,18724800,,,,,485,93%,,,26,5%,,,,,100%,56400,115684,25586,517,2,65,12%,95%,37%
