125,Joseph W. Catharine School,5,95,s,s,s,s,60,63%,s,s,s,s,s,s,s,s,
125,Joseph W. Catharine School,ALL GRADES,619,s,s,71,11%,460,74%,24,4%,56,9%,s,s,s,s,
126,Benjamin B. Comegys School,0,75,s,s,s,s,51,68%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,1,91,s,s,s,s,82,90%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,2,86,s,s,s,s,79,92%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,3,66,s,s,s,s,63,95%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,4,71,s,s,s,s,66,93%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,5,51,s,s,s,s,47,92%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,6,52,s,s,s,s,50,96%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,7,52,s,s,s,s,50,96%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,8,33,s,s,s,s,32,97%,s,s,s,s,s,s,s,s,
126,Benjamin B. Comegys School,ALL GRADES,577,s,s,s,s,520,90%,s,s,20,3%,s,s,29,5%,
128,Sadie Alexander School,0,69,s,s,s,s,s,s,s,s,s,s,s,s,30,43%,
128,Sadie Alexander School,1,72,s,s,s,s,s,s,s,s,s,s,s,s,24,33%,
128,Sadie Alexander School,2,73,s,s,s,s,s,s,s,s,s,s,s,s,31,42%,
128,Sadie Alexander School,3,72,s,s,s,s,s,s,s,s,s,s,s,s,31,43%,
128,Sadie Alexander School,4,69,s,s,s,s,s,s,s,s,s,s,s,s,29,42%,
128,Sadie Alexander School,5,49,s,s,s,s,s,s,s,s,s,s,s,s,22,45%,
128,Sadie Alexander School,6,55,s,s,s,s,s,s,s,s,s,s,s,s,s,s,
128,Sadie Alexander School,7,51,s,s,s,s,s,s,s,s,s,s,s,s,s,s,
128,Sadie Alexander School,8,47,s,s,s,s,s,s,s,s,s,s,s,s,s,s,
128,Sadie Alexander School,ALL GRADES,557,s,s,101,18%,127,23%,37,7%,66,12%,s,s,221,40%,
129,Andrew Hamilton School,0,62,s,s,s,s,56,90%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,1,62,s,s,s,s,57,92%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,2,61,s,s,s,s,51,84%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,3,64,s,s,s,s,58,91%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,4,66,s,s,s,s,55,83%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,5,58,s,s,s,s,49,84%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,6,80,s,s,s,s,74,93%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,7,62,s,s,s,s,59,95%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,8,66,s,s,s,s,60,91%,s,s,s,s,s,s,s,s,
129,Andrew Hamilton School,ALL GRADES,581,s,s,s,s,519,89%,s,s,39,7%,s,s,s,s,
130,Avery D. Harrington School,0,70,s,s,s,s,63,90%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,1,76,s,s,s,s,67,88%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,2,63,s,s,s,s,60,95%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,3,68,s,s,s,s,62,91%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,4,64,s,s,s,s,57,89%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,5,63,s,s,s,s,55,87%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,6,68,s,s,s,s,65,96%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,7,43,s,s,s,s,41,95%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,8,39,s,s,s,s,37,95%,s,s,s,s,s,s,s,s,
130,Avery D. Harrington School,ALL GRADES,554,s,s,s,s,507,92%,s,s,30,5%,s,s,s,s,
133,Samuel B. Huey School,0,81,s,s,s,s,67,83%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,1,68,s,s,s,s,67,99%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,2,69,s,s,s,s,66,96%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,3,51,s,s,s,s,49,96%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,4,54,s,s,s,s,52,96%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,5,51,s,s,s,s,48,94%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,6,50,s,s,s,s,47,94%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,7,68,s,s,s,s,64,94%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,8,40,s,s,s,s,38,95%,s,s,s,s,s,s,s,s,
133,Samuel B. Huey School,ALL GRADES,532,s,s,s,s,498,94%,s,s,26,5%,s,s,s,s,
134,Henry C. Lea School,0,65,s,s,s,s,46,71%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,1,51,s,s,s,s,30,59%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,2,83,s,s,s,s,71,86%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,3,76,s,s,s,s,64,84%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,4,49,s,s,s,s,40,82%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,5,49,s,s,s,s,38,78%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,6,74,s,s,s,s,57,77%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,7,58,s,s,s,s,45,78%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,8,40,s,s,s,s,35,88%,s,s,s,s,s,s,s,s,
134,Henry C. Lea School,ALL GRADES,545,s,s,43,8%,426,78%,s,s,45,8%,s,s,23,4%,
135,William C. Longstreth School,0,72,s,s,s,s,64,89%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,1,85,s,s,s,s,77,91%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,2,67,s,s,s,s,62,93%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,3,64,s,s,s,s,61,95%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,4,56,s,s,s,s,53,95%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,5,52,s,s,s,s,48,92%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,6,36,s,s,s,s,36,100%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,7,55,s,s,s,s,54,98%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,8,46,s,s,s,s,45,98%,s,s,s,s,s,s,s,s,
135,William C. Longstreth School,ALL GRADES,533,s,s,s,s,500,94%,s,s,22,4%,s,s,s,s,
136,Morton McMichael School,0,50,s,s,s,s,48,96%,s,s,s,s,s,s,s,s,
