4240-00-DW-011,Outside cafeteria - left,8/4/2016,4.8,BA
4240-00-DW-012,Outside cafeteria - center left,8/4/2016,1.6,BA
4240-00-DW-013,Outside cafeteria - center right,8/4/2016,2.9,BA
4240-00-DW-014,Outside cafeteria - right,8/4/2016,1.9,BA
4240-01-DW-024,Now Outside Room 103,8/4/2016,1.7,BA
4240-01-DW-034,Outside Room 005,8/4/2016,5.6,BA
4240-02-DW-036,Now Room 210,8/4/2016,3.1,BA
4240-02-DW-042,Outside Room 204,8/4/2016,1.1,BA
4240-03-DW-047,Outside Room 304,8/4/2016,3.7,BA
4240-03-DW-052,Now Outside Room 312,8/4/2016,6.5,BA
