5340-00-WC-011,Caféteria - Right,8/19/2016,2.8,BA
5340-01-WC-022,Across from Room 105,8/19/2016,1.2,BA
5340-02-WC-030,Across from Room 203,8/19/2016,3.6,BA
5340-02-WC-034,Across from Room 207,8/19/2016,1.3,BA
5340-03-WC-038,Across from Room 307,8/19/2016,2.9,BA
5340-03-WC-041,Across From Room 303,8/19/2016,0.48,BA
5340-00-WC-043N,Cafeteria - conventional outlet part of bottle filling station,8/19/2016,0.084,BA
5340-00-WC-044N,Cafeteria -  outlet that is the bottle filling station,8/19/2016,0.054,BA
5340-01-WC-045N,Outside Rm 102 - conventional outlet part of bottle filling station,8/19/2016,0.054,BA
5340-01-WC-046N,Outside Rm 102 -   outlet that is the bottle filling station,8/19/2016,0.054,BA
5341-01-DW-007,Outside of Girl's Locker Room - Annex,8/19/2016,3.2,BA
5341-01-WC-010,Outside of Girl's Room - Left - Annex,8/19/2016,3.0,BA
5341-01-WC-011,Outside of Girl's Room - Right - Annex,8/19/2016,2.6,BA
